Year,co2
1,290
2,290.0444444
3,290.0888889
4,290.1333333
5,290.1777778
6,290.2222222
7,290.2666667
8,290.3111111
9,290.3555556
10,290.4
11,290.44
12,290.48
13,290.52
14,290.56
15,290.6
16,290.64
17,290.68
18,290.72
19,290.76
20,290.8
21,290.84
22,290.88
23,290.92
24,290.96
25,291
26,291.04
27,291.08
28,291.12
29,291.16
30,291.2
31,291.24
32,291.28
33,291.32
34,291.36
35,291.4
36,291.44
37,291.48
38,291.52
39,291.56
40,291.6
41,291.64
42,291.68
43,291.72
44,291.76
45,291.8
46,291.84
47,291.88
48,291.92
49,291.96
50,292
51,292.02
52,292.04
53,292.06
54,292.08
55,292.1
56,292.12
57,292.14
58,292.16
59,292.18
60,292.2
61,292.22
62,292.24
63,292.26
64,292.28
65,292.3
66,292.32
67,292.34
68,292.36
69,292.38
70,292.4
71,292.42
72,292.44
73,292.46
74,292.48
75,292.5
76,292.52
77,292.54
78,292.56
79,292.58
80,292.6
81,292.62
82,292.64
83,292.66
84,292.68
85,292.7
86,292.72
87,292.74
88,292.76
89,292.78
90,292.8
91,292.82
92,292.84
93,292.86
94,292.88
95,292.9
96,292.92
97,292.94
98,292.96
99,292.98
100,293
101,293.04
102,293.08
103,293.12
104,293.16
105,293.2
106,293.24
107,293.28
108,293.32
109,293.36
110,293.4
111,293.44
112,293.48
113,293.52
114,293.56
115,293.6
116,293.64
117,293.68
118,293.72
119,293.76
120,293.8
121,293.84
122,293.88
123,293.92
124,293.96
125,294
126,294.04
127,294.08
128,294.12
129,294.16
130,294.2
131,294.24
132,294.28
133,294.32
134,294.36
135,294.4
136,294.44
137,294.48
138,294.52
139,294.56
140,294.6
141,294.64
142,294.68
143,294.72
144,294.76
145,294.8
146,294.84
147,294.88
148,294.92
149,294.96
150,295
151,295.04
152,295.08
153,295.12
154,295.16
155,295.2
156,295.24
157,295.28
158,295.32
159,295.36
160,295.4
161,295.44
162,295.48
163,295.52
164,295.56
165,295.6
166,295.64
167,295.68
168,295.72
169,295.76
170,295.8
171,295.84
172,295.88
173,295.92
174,295.96
175,296
176,296.04
177,296.08
178,296.12
179,296.16
180,296.2
181,296.24
182,296.28
183,296.32
184,296.36
185,296.4
186,296.44
187,296.48
188,296.52
189,296.56
190,296.6
191,296.64
192,296.68
193,296.72
194,296.76
195,296.8
196,296.84
197,296.88
198,296.92
199,296.96
200,297
201,297.02
202,297.04
203,297.06
204,297.08
205,297.1
206,297.12
207,297.14
208,297.16
209,297.18
210,297.2
211,297.22
212,297.24
213,297.26
214,297.28
215,297.3
216,297.32
217,297.34
218,297.36
219,297.38
220,297.4
221,297.42
222,297.44
223,297.46
224,297.48
225,297.5
226,297.52
227,297.54
228,297.56
229,297.58
230,297.6
231,297.62
232,297.64
233,297.66
234,297.68
235,297.7
236,297.72
237,297.74
238,297.76
239,297.78
240,297.8
241,297.82
242,297.84
243,297.86
244,297.88
245,297.9
246,297.92
247,297.94
248,297.96
249,297.98
250,298
251,298.02
252,298.04
253,298.06
254,298.08
255,298.1
256,298.12
257,298.14
258,298.16
259,298.18
260,298.2
261,298.22
262,298.24
263,298.26
264,298.28
265,298.3
266,298.32
267,298.34
268,298.36
269,298.38
270,298.4
271,298.42
272,298.44
273,298.46
274,298.48
275,298.5
276,298.52
277,298.54
278,298.56
279,298.58
280,298.6
281,298.62
282,298.64
283,298.66
284,298.68
285,298.7
286,298.72
287,298.74
288,298.76
289,298.78
290,298.8
291,298.82
292,298.84
293,298.86
294,298.88
295,298.9
296,298.92
297,298.94
298,298.96
299,298.98
300,299
301,299.04
302,299.08
